address,chain,role
0x2f821d8936d47b2fd15371fb0812fda35396036b,ethereum,passive
0x3008e5ee5cacff4ed2c83dd6f42ad5b6a2f8daef,ethereum,passive
0x307576dd4f73f91bb8c4a2edb762938e8e067d31,ethereum,passive
0x3616453040cbc2575dae9c7ac0310c4462362a35,ethereum,passive
0x37d78a7a3c06f3dfaffae76b7194302f035d59d5,ethereum,passive
0x3a9efbf3f54a7a28c67b9fe6de2ad49e09c19e48,ethereum,passive
0x3ed258d8a224be058bb34ca5170b4d628c3ac903,ethereum,passive
0x420bbe843d4ac66d062510c6c52852ee6283cc5d,ethereum,passive
0x4c39ed0438d5e8913acf423db6d56cce78b2d367,ethereum,passive
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,ethereum,passive
0x508e5332a7db52e54c9b9d6af084657c2eac9d81,ethereum,passive
0x518155c21d5651918625e15f9aad878c1b0c7f08,ethereum,passive
0x56b4564395bec50e3222c15f3d29327dbb47e1f1,ethereum,passive
0x58e54a95a714bea09a02769fd393dd2d322c3059,ethereum,passive
0x5c1dfaceaa7395dc113a02e7ff71c3772d33972b,ethereum,passive
0x74e6d8bbe55b6c230a90eb12259b939873e86d0e,ethereum,passive
0x7a5b84687a5d98260674c2e12b411484878e0bd0,ethereum,passive
0x7aec316c41a8f194b75e8a3816449aa30cedafa4,ethereum,passive
0x815f5bb257e88b67216a344c7c83a3ea4ee74748,ethereum,passive
0x8a67326a3ea768a0045e6f22a363f1b01ebcbf35,ethereum,passive
0x8ade12f752aaf630d0ce5ea5fd6ee113d7338750,ethereum,passive
0x9db80be8dcb0f5fe9abc2e18bcf05cff9af3abe8,ethereum,passive
0xa26148ae51fa8e787df319c04137602cc018b521,ethereum,passive
0xa36243087e281b8a4a0a176bd19373d4e8da7f0f,ethereum,passive
0xaa2a33c424b92cdc042e40c522cb48e586e83026,ethereum,passive
0xaf131dfb0480bb7f00c689f0e1f581bb8afafc27,ethereum,passive
0xb254b2f960faf69356791e77d46a96398444bbfb,ethereum,passive
0xc301c43fbc49c8e98b7d363ffabdb5f39d52d60e,ethereum,passive
0xc8f331a8e18d09f7b740c4ad986d8ed26aa8922c,ethereum,passive
0xcbd6832ebc203e49e2b771897067fce3c58575ac,ethereum,passive
0xd08dd6c4125f03ebb24e7d59dfda45075357ada1,ethereum,passive
0xd7aa9f8431f567cd9944ff486ed84ef2d17d4423,ethereum,passive
0xe86c9677fcc6936b0f6a71a19738dd0911396961,ethereum,passive
0xeba88149813bec1cccccfdb0dacefaaa5de94cb1,ethereum,passive
0xecd9ce62bf4d913e4f7abe63d36e070f0efcaf17,ethereum,passive
0xeeac13a800e2d0f99b18e76452764a376b95490c,ethereum,passive
0xf1341498ffdf363fc5c0ed29c379cc328e536b52,ethereum,passive
0xf2c95862d782ec47236231a51a264b843ee45634,ethereum,passive
0xf6b8fbdea69322277fb90bfc30cc64542b8fb7a8,ethereum,passive
0xfb23bd19876bf865a87fb842d71574853898f99f,ethereum,passive
0xfd88082023132c558037d248bdc65715cf44dade,ethereum,passive
0xfd8f2246604a99036508aa6ad7ea14cef40fce21,ethereum,passive
0xfe205e8ba6966719bb7c28b6d2ec9cbb7b32496d,ethereum,passive
